Id,Target
001bcdd2-bbb2-11e8-b2ba-ac1f6b6435d0,0
002679c2-bbb6-11e8-b2ba-ac1f6b6435d0,0
003feb6e-bbca-11e8-b2bc-ac1f6b6435d0,0
0067cae4-bb9d-11e8-b2b9-ac1f6b6435d0,0
00751f10-bbab-11e8-b2ba-ac1f6b6435d0,0
00855996-bbad-11e8-b2ba-ac1f6b6435d0,0
00b580c6-bbb2-11e8-b2ba-ac1f6b6435d0,0
00c76b88-bbb2-11e8-b2ba-ac1f6b6435d0,0
01095156-bbb7-11e8-b2ba-ac1f6b6435d0,0
011364f4-bba1-11e8-b2b9-ac1f6b6435d0,0
00383b44-bbbb-11e8-b2ba-ac1f6b6435d0,25
003957a8-bbb7-11e8-b2ba-ac1f6b6435d0,25
004f7c66-bb9b-11e8-b2b9-ac1f6b6435d0,25
0093f39a-bbc9-11e8-b2bc-ac1f6b6435d0,25
00ae0ea6-bb9c-11e8-b2b9-ac1f6b6435d0,25
00c58890-bbbc-11e8-b2ba-ac1f6b6435d0,25
01508fd4-bb9a-11e8-b2b9-ac1f6b6435d0,25
015b7388-bbac-11e8-b2ba-ac1f6b6435d0,25
01853df0-bbc3-11e8-b2bc-ac1f6b6435d0,25
01a2514a-bba7-11e8-b2ba-ac1f6b6435d0,25
